t,X,Y,Z
2.350000000000000089e+00,-8.771995323169942793e+00,-7.618522575580001899e+00,2.877773914307435987e+01
2.359999999999999876e+00,-8.655427035473611141e+00,-7.479844257878218272e+00,2.866949284621946248e+01
2.370000000000000107e+00,-8.537337660021115937e+00,-7.353397025580653334e+00,2.854409614214390700e+01
2.379999999999999893e+00,-8.419085226977161440e+00,-7.240163065947823107e+00,2.840331352649076990e+01
2.390000000000000124e+00,-8.301981021051187071e+00,-7.140899436228958841e+00,2.824898786791621319e+01
2.399999999999999911e+00,-8.187273228784381018e+00,-7.056151684100429478e+00,2.808300711055155219e+01
2.410000000000000142e+00,-8.076133635273130551e+00,-6.986271316151508870e+00,2.790727545792067943e+01
2.419999999999999929e+00,-7.969647380185659102e+00,-6.931435758304991701e+00,2.772368929687440087e+01
2.430000000000000160e+00,-7.868805657342506699e+00,-6.891669553030977724e+00,2.753411784471022372e+01
2.439999999999999947e+00,-7.774501140686124856e+00,-6.866865689042569443e+00,2.734038828289572720e+01
2.450000000000000178e+00,-7.687525843597430075e+00,-6.856806139268627476e+00,2.714427497877692375e+01
2.459999999999999964e+00,-7.608571067684266609e+00,-6.861180874296016086e+00,2.694749228913063988e+01
2.470000000000000195e+00,-7.538229069333758581e+00,-6.879604806771154379e+00,2.675169037961361695e+01
2.479999999999999982e+00,-7.476996064467600789e+00,-6.911632297008956094e+00,2.655845347326952322e+01
2.490000000000000213e+00,-7.425276200527513915e+00,-6.956769004654926647e+00,2.636929994982782333e+01
2.500000000000000000e+00,-7.383386146082210999e+00,-7.014481002419336697e+00,2.618568374649774810e+01
2.510000000000000231e+00,-7.351559979097221031e+00,-7.084201175108796100e+00,2.600899655233696350e+01
2.520000000000000018e+00,-7.329954091738994038e+00,-7.165333011910438366e+00,2.584057033554144667e+01
2.530000000000000249e+00,-7.318651869997937709e+00,-7.257251965002613936e+00,2.568167979126913281e+01
2.540000000000000036e+00,-7.317667948377081011e+00,-7.359304596738604154e+00,2.553354434358774583e+01
2.550000000000000266e+00,-7.326951881931229593e+00,-7.470805774870961535e+00,2.539732937701189641e+01
2.560000000000000053e+00,-7.346391119104101364e+00,-7.591034204510737737e+00,2.527414641033674059e+01
2.569999999999999840e+00,-7.375813198600197573e+00,-7.719226610392885490e+00,2.516505195863571842e+01
2.580000000000000071e+00,-7.414987131816919153e+00,-7.854570906673991715e+00,2.507104485980018538e+01
2.589999999999999858e+00,-7.463623969301695027e+00,-7.996198716374958160e+00,2.499306187199018581e+01
2.600000000000000089e+00,-7.521376585621038835e+00,-8.143177630350296070e+00,2.493197138050237527e+01
2.609999999999999876e+00,-7.587838752347656701e+00,-8.294503627048390726e+00,2.488856508988180849e+01
2.620000000000000107e+00,-7.662543603983244189e+00,-8.449094109019814169e+00,2.486354762285414211e+01
2.629999999999999893e+00,-7.744961636812536909e+00,-8.605782048682005581e+00,2.485752400508984294e+01
2.640000000000000124e+00,-7.834498415978543129e+00,-8.763311771556107743e+00,2.487098508695724774e+01
2.649999999999999911e+00,-7.930492201204238256e+00,-8.920336936028736119e+00,2.490429104276217132e+01
2.660000000000000142e+00,-8.032211735864819957e+00,-9.075421289292938454e+00,2.495765319607060917e+01
2.669999999999999929e+00,-8.138854476333550636e+00,-9.227042782871711424e+00,2.503111454674866820e+01
2.680000000000000160e+00,-8.249545566912811267e+00,-9.373601610389874494e+00,2.512452951961062553e+01
2.689999999999999947e+00,-8.363337887859346509e+00,-9.513432676818004197e+00,2.523754361188737505e+01
2.700000000000000178e+00,-8.479213517098434849e+00,-9.644822914140215531e+00,2.536957378003494412e+01
2.709999999999999964e+00,-8.596086946821992925e+00,-9.766033716208326609e+00,2.551979056535283519e+01
2.720000000000000195e+00,-8.712810380650942932e+00,-9.875328570590838240e+00,2.568710309879045894e+01
2.729999999999999982e+00,-8.828181401831770359e+00,-9.971005716298611432e+00,2.587014823149423037e+01
2.740000000000000213e+00,-8.940953244911732156e+00,-1.005143535726796955e+01,2.606728509025600360e+01
2.750000000000000000e+00,-9.049847820346982985e+00,-1.011510062273747756e+01,2.627659633660022465e+01
2.760000000000000231e+00,-9.153571532931806587e+00,-1.016064110484585115e+01,2.649589729685566297e+01
2.770000000000000018e+00,-9.250833802291191788e+00,-1.018689744611549486e+01,2.672275391451291782e+01
2.780000000000000249e+00,-9.340368041040211011e+00,-1.019295512684991856e+01,2.695451014907699872e+01
2.790000000000000036e+00,-9.420954680555748695e+00,-1.017818535128047408e+01,2.718832501132712309e+01
